input,expected_output,difficulty,type,persona_context,source_doc
"Mẹ con thường xuyên quên ăn trưa, con không biết phải làm sao để mẹ nhớ được. iSupport có chỉ dẫn nào về việc này không?","Nghe bạn kể vậy chắc bạn lo lắng cho sức khỏe của mẹ lắm. Mình không thể trả lời câu hỏi của bạn, vì hiện tại không có thông tin cụ thể về cách xử lý khi người bệnh sa sút trí tuệ quên ăn trưa. iSupport có thể có hướng dẫn liên quan trong phần chăm sóc hàng ngày, nhưng mình cần thêm thông tin chi tiết từ tài liệu để chắc chắn. Nếu được, bạn có thể thử tạo thói quen giờ giấc để mẹ dễ nhớ hơn và nhờ thêm người hỗ trợ nếu cần nhé.",3,missing,Con gái quan tâm - Lo lắng nhưng kiên nhẫn,-đã nạp WHO iSupport.pdf
"Mình đang cố gắng giao tiếp với chồng mình nhưng anh ấy thường dùng từ quen thuộc nhiều lần, đôi khi mình không hiểu anh ấy muốn nói gì. Mình nên làm gì bây giờ?","Mình hiểu tình huống này dễ làm bạn bối rối. Bạn thử mấy cách sau nhé:
- Duy trì giao tiếp bằng mắt và cho thấy bạn đang lắng nghe.
- Khuyến khích anh ấy tiếp tục bày tỏ suy nghĩ, cả khi gặp khó khăn.
- Sử dụng giọng điệu nhẹ nhàng, thoải mái và nét mặt tích cực, thân thiện.
- Sử dụng các từ ngắn gọn, đơn giản và quen thuộc.
- Tránh chỉ trích, sửa chữa và tranh luận.
Nguồn: Vietnam Alzheimer CareGiver 's Guidebook. VnADA.30.4. 2020.pdf – Giao tiếp",1,missing,Người bạn đời tận tụy - Kiệt sức nhưng kiên nhẫn,Vietnam Alzheimer CareGiver 's Guidebook. VnADA.30.4. 2020.pdf
"Chào bạn, mình là hàng xóm của gia đình bên cạnh. Mình biết mẹ của họ đang gặp tình trạng sa sút trí tuệ và mình thường ghé qua giúp đỡ. Mình muốn biết thêm về cách xử trí khi bà cụ bị kích động hoặc lo lắng quá mức. Có cách nào để bình tĩnh lại không? Mình rất muốn giúp họ một cách tốt nhất.","Mình rất cảm kích sự quan tâm và giúp đỡ của bạn dành cho gia đình hàng xóm. Đối với người bị sa sút trí tuệ khi họ bị kích động hoặc lo lắng, mình có thể thử một vài cách nhé:

- Đảm bảo môi trường xung quanh yên tĩnh và an toàn, giảm thiểu âm thanh lớn hoặc ánh sáng chói.
- Nói chuyện nhẹ nhàng, dùng giọng điệu êm dịu để trấn an. Có thể nói: “Không sao đâu, mình ở đây với bà. Mọi thứ sẽ ổn thôi.”
- Sử dụng các hoạt động nhẹ nhàng như nghe nhạc êm dịu hoặc xem những hình ảnh quen thuộc để giúp bà thư giãn.
- Nếu bà cụ có sở thích nào đó, như đan len hoặc tưới cây, khuyến khích bà tham gia để chuyển hướng sự chú ý.

Nếu bà cụ thường xuyên bị kích động hoặc lo lắng quá mức, mình nghĩ gia đình nên tham khảo ý kiến bác sĩ để xem xét các biện pháp hỗ trợ khác.

Nguồn: Dementia_Care_Tips.pdf – Managing Agitation and Anxiety",4,full,Người bạn hàng xóm - Chu đáo,ChatGPT_Transforming_Healthcare_with_AI.pdf
"Mình đã nghỉ việc để chăm sóc chồng, nhưng đôi khi cảm thấy như mình chưa làm đủ. Có phải vì mình nghĩ vậy mà làm mình cảm thấy kém cỏi và buồn bã không?","Nghe bạn kể vậy, mình đoán bạn đang cảm thấy khá căng thẳng. Cảm giác như chưa làm đủ có thể khiến mình thấy buồn và kém cỏi. Nhưng nếu mình nghĩ rằng việc nghỉ việc để chăm sóc chồng cho thấy sự quan tâm và tình yêu, có thể cảm giác này sẽ giúp mình thấy được ủng hộ hơn. Bạn có thể thử viết ra những điều mình đã làm tốt mỗi ngày để thấy rõ những gì mình đã đóng góp. Nếu cảm thấy quá nặng nề, mình có thể thử tìm kiếm sự giúp đỡ từ bạn bè hoặc gia đình để chia sẻ công việc chăm sóc. Khi nào cảm thấy quá tải hoặc có dấu hiệu căng thẳng nghiêm trọng, hãy tìm đến bác sĩ hoặc chuyên gia tâm lý để được hỗ trợ.",3,missing,Người bạn đời tận tụy - Kiệt sức nhưng kiên nhẫn,-đã nạp WHO iSupport.pdf
"Ông cháu gần đây hay tiểu không tự chủ, cháu cần làm gì để giúp ông? Mà cháu không thấy thông tin về cách nào cụ thể để giúp ông đi vệ sinh dễ hơn.","Nghe bạn chia sẻ vậy chắc bạn đang lo lắng cho ông lắm. Mình thử làm vài việc đơn giản để giúp ông nhé: 
- Đặt hình ảnh nhà vệ sinh lên cửa phòng tắm để ông dễ nhận biết.
- Sử dụng màu sắc tương phản cho nắp bồn cầu để ông dễ nhìn thấy.
- Thay quần của ông bằng loại không cần thắt lưng để tiện lợi hơn.
Nếu bạn cần thêm thông tin cụ thể hơn, mình chưa thể cung cấp được lúc này. Bạn có thể thử các cách trên trước nhé.
Nguồn: WHO iSupport.pdf - ANSWERS - PROVIDING EVERYDAY CARE Lesson 3.",1,missing,Cháu nội/ngoại tận tâm - Lo lắng nhưng kiên nhẫn,-đã nạp WHO iSupport.pdf
"Mẹ mình thường xuyên quên và hay lo lắng, điều này khiến mình rất căng thẳng. Mình có thể làm gì để giảm stress và vẫn chăm sóc mẹ tốt?","Nghe bạn kể vậy chắc bạn đang rất lo lắng và mệt mỏi. Mình có thể thử một số cách để giảm căng thẳng ngay tại chỗ nhé:
- Thử thở cơ bản bằng cách hít sâu vào bằng mũi và thở ra từ từ qua miệng.
- Thực hành thở tỉnh thức, tập trung vào từng hơi thở để tâm trí thư giãn.
- Dành vài phút để giãn cơ cổ bằng cách xoay đầu nhẹ nhàng.
- Nếu có thời gian, tập giãn cơ toàn thân giúp cơ thể thả lỏng.
- Tập trung vào hình ảnh thư giãn như cảnh biển hay khu rừng yên bình.

Khi có dấu hiệu kiệt sức, bạn nên tìm đến bác sĩ để được hỗ trợ thêm nhé.
Nguồn: WHO iSupport.pdf – Module 3, Lesson 1",4,full,Người con gái tận tụy - Lo lắng nhưng quyết tâm,-đã nạp WHO iSupport.pdf
"Bạn ơi, dạo gần đây mình thấy ChatGPT hỗ trợ tốt trong việc gì nhỉ? Mình đang cố gắng tìm cách giúp cha mình quản lý sức khỏe tốt hơn.","Mình hiểu bạn rất quan tâm đến việc chăm sóc sức khỏe của cha. Để mình hỏi thêm nhé: bạn muốn biết ChatGPT hỗ trợ trong việc quản lý sức khỏe hàng ngày, nhắc nhở khám bệnh hay dùng thuốc không? Hay bạn quan tâm đến việc hỗ trợ hành chính như lên lịch hẹn, nhắc nhở, và các thủ tục khác?",3,missing,Người bạn đồng hành tâm tình - Kiệt sức nhưng vẫn kiên nhẫn,ChatGPT_Transforming_Healthcare_with_AI.pdf
"Bác ơi, dạo này bà nội con hay cáu gắt với con, con không biết làm sao để bà bớt giận hơn. Có cách nào giúp bà thoải mái hơn không?","Mình hiểu tình huống này dễ làm bạn căng thẳng. Mình có vài gợi ý bạn thử áp dụng nhé:
- Thử mở nhạc nhẹ nhàng mà bà thích, điều này có thể giúp giảm căng thẳng và làm bà cảm thấy thoải mái hơn. 
- Khi bà cáu gắt, bạn có thể đi ra ngoài một lúc, hít thở sâu để bình tĩnh lại rồi quay lại nói chuyện với bà sau.
- Luôn giữ gìn sự tôn trọng và riêng tư cho bà, như là giữ cho bà được mặc áo choàng hay khăn tắm khi cần.
Khi nào thấy bà có dấu hiệu thay đổi hành vi quá mức hoặc nguy hiểm, bạn nên liên hệ bác sĩ để được hỗ trợ kịp thời.
Nguồn: WHO iSupport.pdf – Module 5",2,full,Cháu gái - Lo lắng,-đã nạp WHO iSupport.pdf
"Mình mệt mỏi lắm, nhưng vẫn cố gắng hàng ngày chăm sóc chồng. Có hôm, anh ấy gặp người lạ mà cứ tưởng là anh trai đã mất từ lâu, rồi chạy theo gọi tên. Mình không biết phải làm sao trong những lúc như vậy.","Nghe bạn kể mình hiểu rằng tình huống này rất dễ làm mình căng thẳng. Có vài cách mình có thể thử khi chồng mình nhầm lẫn người lạ là người quen:
- Nói chuyện nhẹ nhàng, trấn an anh ấy bằng giọng nói êm dịu.
- Dẫn anh ấy đi khỏi người lạ để tránh tình huống căng thẳng thêm.
- Có thể nói rằng người lạ trông giống người quen, nhưng không phải là họ.
- Đừng cố tranh luận hay cố thuyết phục anh ấy về thực tế ngay lúc đó.
Nếu cần thiết, khi nào tình trạng này xảy ra thường xuyên hơn hoặc có dấu hiệu nguy hiểm, bạn nên tham khảo ý kiến bác sĩ để có cách xử lý phù hợp hơn.
Nguồn: iSupport Intervention Manual – Lesson 6. Delusions and hallucinations",3,full,Người vợ tận tụy - Mệt mỏi nhưng kiên trì,-đã nạp WHO iSupport.pdf
"Bố mình dạo này hay hỏi đi hỏi lại những câu hỏi giống nhau, dù mình đã trả lời rồi. Như là 'Khi nào ăn trưa?' và 'Mẹ đâu rồi?'. Điều này khiến mình lo lắng và khó xử. Mình nên làm gì trong tình huống này?","Nghe bạn kể vậy chắc bạn đang rất lo lắng và mệt mỏi. Mình thử vài cách sau để xem có cải thiện không nhé:
- Giữ bình tĩnh và trấn an bố rằng mẹ sẽ về sớm.
- Thử thu hút bố bằng một hoạt động nào đó.
- Viết ra những câu trả lời cho các câu hỏi thường xuyên, ví dụ như mẹ đang ở đâu và khi nào sẽ về.
- Chấp nhận việc hỏi lặp lại nếu nó không gây hại, và tìm cách thích nghi.
- Có thể mời bố ăn nhẹ hoặc uống nước để chuyển hướng chú ý.

Nếu cảm thấy tình trạng này kéo dài và ảnh hưởng đến cuộc sống của cả hai, bạn nên liên hệ bác sĩ để được tư vấn thêm.

Nguồn: WHO iSupport – Lesson 7. Repetitive behaviour",5,full,Con trai chăm sóc - Lo lắng nhưng kiên nhẫn,-đã nạp WHO iSupport.pdf
